
Status for Glycine max (glyma) as of 2026-04-21:

Count | PMID | DOI | Citation; Summary for glyma
   1 | 33175845 | 10.1371/journal.pgen.1009114 | Zhang, Goettel et al., 2020
   1 | 32584851 | 10.1371/journal.pone.0235120 | Redekar, Glover et al., 2020
   1 | 32344464 | 10.1111/tpj.14789 | Isidra-Arellano, Pozas-Rodríguez et al., 2020
   1 | 32171732 | 10.1016/j.molp.2020.03.002 | Liu, Zhang et al., 2020
   1 | 31981443 | 10.1111/pbi.13346 | Wang, Sun et al., 2020
   1 | 31856712 | 10.1186/s12870-019-2201-4 | Yu, Jin et al., 2019
   1 | 31852439 | 10.1186/s12870-019-2145-8 | Cheng, Dong et al., 2019
   1 | 31779909 | 10.1016/j.plantsci.2019.110298 | Bai, Jing et al., 2020
   1 | 31766569 | 10.3390/genes10120957 | Yu, Chang et al., 2019
   1 | 31724182 | 10.1111/pce.13678 | Wang, Yuan, et. al., 2019
   1 | 31596499 | 10.1111/nph.16250 | Miao, Yang et al., 2020
   1 | 31569565 | 10.3390/ijms20194849 | Noman, Jameel et al., 2019
   1 | 31437808 | 10.1016/j.jplph.2019.153019 | Zhau, Bi et al., 2019
   1 | 31437808 | 10.1016/j.jplph.2019.153019 | Zhao, Jiangzhe, et al., 2019
   1 | 31293605 | 10.3389/fpls.2019.00794 | Kusano, Li et al., 2019
   1 | 31240772 | 10.1111/pbi.13199 | Cai, Wang, et al., 2020
   1 | 31206092 | 10.1016/j.heliyon.2019.e01868 | Li, Guo et. al., 2019
   1 | 31123331 | 10.1038/s41598-019-44255-7 | Kumar, Kumar et al., 2019
   1 | 31035293 | 10.1093/jxb/erz199 | Takeshima, Nan, et al., 2019
   1 | 30979945 | 10.1038/s41598-019-42332-5 | Chen, Fang et al., 2019
   1 | 30894121 | 10.1186/s12864-019-5577-5 | Jiang, Zhang, et al., 2019
   1 | 30670485 | doi.org/10.1105/tpc.17.00714 | You, Sawikowska et al., 2019
   1 | 30509166 | 10.1186/s12870-018-1551-7 | Du, Zhao et al., 2018
   1 | 30456004 | 10.1007/s13205-018-1492-8 | Porras-Murillo, Andrade-Torres et al., 2018
   1 | 30195273 | 10.1111/tpj.14083 | Sukumaran, McDowell et al., 2018
   1 | 30113770 | 10.1111/mpp.12741 | Zhang, Gao et al., 2018
   1 | 30087346 | 10.1038/s41467-018-05663-x | Sugawara, Takahashi et. al., 2018
   1 | 30004144 | 10.1111/tpj.14025 | Zhao, Li et al., 2018
   1 | 29769571 | 10.1038/s41598-018-25910-x | Yan, Wang et. al., 2018
   1 | 29550969 | 10.1007/s00122-017-3044-8 | Li, Guo et al., 2018
   1 | 29292374 | 10.1038/s41477-017-0084-7 | Zhang, Sun et al., 2018
   1 | 29120038 | 10.1111/nph.14884 | Liu, Jiang, et al., 2018
   1 | 29120038 | 10.1111/nph.14884 | Liu, Jiang et al., 2008
   1 | 29085246 | 10.1270/jsbbs.16201 | Sayama, Tanabata et. al., 2017
   1 | 28979275 | 10.3389/fpls.2017.01604 | Manan, Ahmad et al., 2017
   1 | 28338712 | 10.1093/jxb/erw394 | Cao, Takeshima, et al., 2017
   1 | 28235823 | 10.1534/g3.116.038596 | Dobbels, Michno et al., 2017
   1 | 27979775 | 10.1016/j.molp.2016.12.004 | Yue, Liu et al., 2017
   1 | 27832313 | 10.1007/s00122-016-2819-7 | Samanfar, Molnar et al., 2017
   1 | 27791139 | 10.1073/pnas.1611763113 | Ge, Yu et al., 2016
   1 | 27422993 | 10.1093/jxb/erw283 | Takeshima, Hayashi, et al., 2016
   1 | 27404272 | 10.1371/journal.pone.0159064 | Song J, Liu Z et al., 2016
   1 | 27062090 | 10.1111/tpj.13181 | Lu, Li et al., 2016
   1 | 26420429 | 10.1186/s12870-015-0602-6 | Li, Suo et al., 2015
   1 | 25663621 | 10.1105/tpc.114.135103 | Wang, Zhou et al., 2015
   1 | 25549672 | 10.1105/tpc.114.131607 | Wang, Wang et. al., 2014
   1 | 25369033 | 10.1371/journal.pone.0111959 | Zabala, Vodkin., 2014
   1 | 25369033 | 10.1371/journal.pone.0111959 | Zabala, Vodkin, 2014
   1 | 25287450 | 10.1186/s12870-014-0263-x | Hu, Jin et al., 2014
   1 | 25074550 | 10.1093/aob/mcu147 | Yao, Tian et al., 2014
   1 | 25005919 | 10.1105/tpc.114.126938 | Ping, Liu, et al., 2014
   1 | 25004933 | 10.1038/ncomms5340 | Qi, Li et al., 2014
   1 | 24893844 | 10.1186/1471-2229-14-154 | Zhou, He et al., 2014
   1 | 24886084 | 10.1186/1471-2229-14-143 | Gillman, Stacey et. al., 2014
   1 | 24846334 | 10.1371/journal.pone.0097891 | Carrero-Colon, Abshire et. al., 2014
   1 | 24846334 | 10.1371/journal.pone.0097891 | Carrero-Colon, Abshire et al., 2014
   1 | 24845624 | 10.1371/journal.pone.0097669 | Nan, Cao, et al., 2014
   1 | 24845624 | 10.1371/journal.pone.0097669 | Nan, Cao et al., 2014
   1 | 24733883 | 10.1104/pp.114.235952 | Cook, Bayless et al., 2014
   1 | 24727730 | 10.1371/journal.pone.0094150 | Langewisch, Zhang, 2014
   1 | 24707045 | 10.1073/pnas.1312801111 | Chiasson, Loughlin et al., 2014
   1 | 24586488 | 10.1371/journal.pone.0089030 | Zhai, Lu et al., 2014
   1 | 24284817 | 10.1093/aob/mct269 | Tsubokura, Watanabe et al., 2013
   1 | 24072327 | 10.1007/s11103-013-0133-1 | RojasRodas, Rodriguez et al., 2013
   1 | 23984715 | 10.1186/1471-2164-14-579 | Li, Zhao et al., 2013
   1 | 23963672 | 10.1093/jxb/ert238 | Song, Li et al., 2013
   1 | 23645501 | 10.1007/s11248-013-9713-8 | Zhang, Luo et al., 2013
   1 | 23636865 | 10.1007/s11103-013-0062-z | Zhao, Wang et al., 2013
   1 | 23388059 | 10.1186/1471-2229-13-21 | Zhang, Zhao et al., 2013
   1 | 23322364 | 10.1007/s10142-012-0306-z | Li, Hatanaka et al., 2013
   1 | 22733447 | 10.1007/s00122-012-1922-7 | Yuan, Zhu et al., 2012
   1 | 22619331 | 10.1073/pnas.1117982109 | Xia, Watanabe et al., 2012
   1 | 22258749 | 10.1007/s00425-012-1590-5 | Toda, Kuroiwa et al., 2012
   1 | 22070454 | 10.1186/1471-2229-11-155 | Gillman, Tetlow et al., 2011
   1 | 21963279 | 10.1016/j.jplph.2011.08.007 | Chi, Huang et al., 2011
   1 | 21617948 | 10.1007/s11033-011-0875-2 | Xue, Zhang et al., 2012
   1 | 21252257 | 10.1093/jxb/erq445 | Boisson-Dernier, Kessler et al., 2011
   1 | 21046066 | 10.1007/s00122-010-1467-6 | Juwattanasomran, Somta, et al., 2011
   1 | 20864544 | 10.1104/pp.110.160796 | Kong, Liu, et al., 2010
   1 | 20584753 | 10.1093/jhered/esq078 | Yang, Jeong et al., 2010
   1 | 20428921 | 10.1007/s10265-010-0345-2 | Toda, Takahashi et al., 2011
   1 | 20421496 | 10.1073/pnas.1000088107 | Tian, Wang, et al., 2010
   1 | 20345602 | 10.1111/j.1365-313X.2010.04214.x | Yi, Jinxin et al., 2010
   1 | 20219831 | 10.1104/pp.109.150607 | Liu, Watanabe, et al., 2010
   1 | 20219831 | 10.1104/pp.109.150607 | Liu, Watanabe et al., 2010
   1 | 19474204 | 10.1534/genetics.108.098772 | Watanabe, Hideshima et al., 2009
   1 | 19091879 | 10.1104/pp.108.123679 | Akashi, Sasaki et al., 2009
   1 | 16395584 | 10.1007/s00425-005-0201-0 | Nunes, Vianna et al., 2006
   1 | 15731930 | 10.1007/s00122-004-1887-2 | Kim, Van et al., 2005
   1 | 12175012 | 10.1023/a:1016087221334 | Toda, Yang et al., 2002
   1 | 11299373 | 10.1104/pp.125.4.1941 | Hegeman, Good et al., 2001
  --------------------------------------------------

Count | gene_model_full_id; Summary for glyma
--------------------------------------------------
   2 | glyma.Wm82.gnm4.ann1.Glyma.16G150700
   1 | glyma.Zh13.gnm1.ann1.SoyZH13_12G067700
   1 | glyma.Zh13.gnm1.ann1.SoyZH13_11G141200
   1 | glyma.Wm82.gnm6.ann1.Glyma.20G005900
   1 | glyma.Wm82.gnm6.ann1.Glyma.18G022500
   1 | glyma.Wm82.gnm6.ann1.Glyma.17G054500
   1 | glyma.Wm82.gnm6.ann1.Glyma.15G170300
   1 | glyma.Wm82.gnm6.ann1.Glyma.15G049200
   1 | glyma.Wm82.gnm6.ann1.Glyma.12G073900
   1 | glyma.Wm82.gnm6.ann1.Glyma.10G164100
   1 | glyma.Wm82.gnm6.ann1.Glyma.09G167000
   1 | glyma.Wm82.gnm6.ann1.Glyma.09G073600
   1 | glyma.Wm82.gnm6.ann1.Glyma.09G063900
   1 | glyma.Wm82.gnm6.ann1.Glyma.08G230500
   1 | glyma.Wm82.gnm6.ann1.Glyma.08G183500
   1 | glyma.Wm82.gnm6.ann1.Glyma.08G108900
   1 | glyma.Wm82.gnm6.ann1.Glyma.07G158200
   1 | glyma.Wm82.gnm6.ann1.Glyma.05G243800
   1 | glyma.Wm82.gnm6.ann1.Glyma.04G051000
   1 | glyma.Wm82.gnm6.ann1.Glyma.02G240400
   1 | glyma.Wm82.gnm6.ann1.Glyma.01G134600
   1 | glyma.Wm82.gnm4.ann1.Glyma.20G116200
   1 | glyma.Wm82.gnm4.ann1.Glyma.20G111000
   1 | glyma.Wm82.gnm4.ann1.Glyma.20G090000
   1 | glyma.Wm82.gnm4.ann1.Glyma.20G070100
   1 | glyma.Wm82.gnm4.ann1.Glyma.20G035700
   1 | glyma.Wm82.gnm4.ann1.Glyma.19G260900
   1 | glyma.Wm82.gnm4.ann1.Glyma.19G198600
   1 | glyma.Wm82.gnm4.ann1.Glyma.19G194300
   1 | glyma.Wm82.gnm4.ann1.Glyma.19G122800
   1 | glyma.Wm82.gnm4.ann1.Glyma.19G108100
   1 | glyma.Wm82.gnm4.ann1.Glyma.18G278100
   1 | glyma.Wm82.gnm4.ann1.Glyma.18G273600
   1 | glyma.Wm82.gnm4.ann1.Glyma.18G224500
   1 | glyma.Wm82.gnm4.ann1.Glyma.18G022400
   1 | glyma.Wm82.gnm4.ann1.Glyma.17G094400
   1 | glyma.Wm82.gnm4.ann1.Glyma.17G036400
   1 | glyma.Wm82.gnm4.ann1.Glyma.17G036300
   1 | glyma.Wm82.gnm4.ann1.Glyma.16G212300
   1 | glyma.Wm82.gnm4.ann1.Glyma.16G151000
   1 | glyma.Wm82.gnm4.ann1.Glyma.16G092700
   1 | glyma.Wm82.gnm4.ann1.Glyma.16G091300
   1 | glyma.Wm82.gnm4.ann1.Glyma.16G044100
   1 | glyma.Wm82.gnm4.ann1.Glyma.15G174800
   1 | glyma.Wm82.gnm4.ann1.Glyma.15G061400
   1 | glyma.Wm82.gnm4.ann1.Glyma.15G049200
   1 | glyma.Wm82.gnm4.ann1.Glyma.15g014800
   1 | glyma.Wm82.gnm4.ann1.Glyma.15G012100
   1 | glyma.Wm82.gnm4.ann1.Glyma.14G095900
   1 | glyma.Wm82.gnm4.ann1.Glyma.14G068700
   1 | glyma.Wm82.gnm4.ann1.Glyma.14G066100
   1 | glyma.Wm82.gnm4.ann1.Glyma.13G288000
   1 | glyma.Wm82.gnm4.ann1.Glyma.13G287600
   1 | glyma.Wm82.gnm4.ann1.Glyma.13G248000
   1 | glyma.Wm82.gnm4.ann1.Glyma.13G241700
   1 | glyma.Wm82.gnm4.ann1.Glyma.13G173500
   1 | glyma.Wm82.gnm4.ann1.Glyma.12G073300
   1 | glyma.Wm82.gnm4.ann1.Glyma.12G014300
   1 | glyma.Wm82.gnm4.ann1.Glyma.11G238800
   1 | glyma.Wm82.gnm4.ann1.Glyma.11G149900
   1 | glyma.Wm82.gnm4.ann1.Glyma.11G124200
   1 | glyma.Wm82.gnm4.ann1.Glyma.10G261900
   1 | glyma.Wm82.gnm4.ann1.Glyma.10G218800
   1 | glyma.Wm82.gnm4.ann1.Glyma.10G194000
   1 | glyma.Wm82.gnm4.ann1.Glyma.10G180600
   1 | glyma.Wm82.gnm4.ann1.Glyma.10G141400
   1 | glyma.Wm82.gnm4.ann1.Glyma.10G036800
   1 | glyma.Wm82.gnm4.ann1.Glyma.09G266200
   1 | glyma.Wm82.gnm4.ann1.Glyma.09G235100
   1 | glyma.Wm82.gnm4.ann1.Glyma.08G255200
   1 | glyma.Wm82.gnm4.ann1.Glyma.08G163900
   1 | glyma.Wm82.gnm4.ann1.Glyma.08G084300
   1 | glyma.Wm82.gnm4.ann1.Glyma.08G062100
   1 | glyma.Wm82.gnm4.ann1.Glyma.08G062000
   1 | glyma.Wm82.gnm4.ann1.Glyma.07G202300
   1 | glyma.Wm82.gnm4.ann1.Glyma.07g049700
   1 | glyma.Wm82.gnm4.ann1.Glyma.06G207800
   1 | glyma.Wm82.gnm4.ann1.Glyma.06G202300
   1 | glyma.Wm82.gnm4.ann1.Glyma.06G196200
   1 | glyma.Wm82.gnm4.ann1.Glyma.06G184200
   1 | glyma.Wm82.gnm4.ann1.Glyma.06G169600
   1 | glyma.Wm82.gnm4.ann1.Glyma.06G028200
   1 | glyma.Wm82.gnm4.ann1.Glyma.06G024100
   1 | glyma.Wm82.gnm4.ann1.Glyma.05G121600
   1 | glyma.Wm82.gnm4.ann1.Glyma.05g032200
   1 | glyma.Wm82.gnm4.ann1.Glyma.04G244900
   1 | glyma.Wm82.gnm4.ann1.Glyma.04G244200
   1 | glyma.Wm82.gnm4.ann1.Glyma.04G101500
   1 | glyma.Wm82.gnm4.ann1.Glyma.03G171600
   1 | glyma.Wm82.gnm4.ann1.Glyma.02G168000
   1 | glyma.Wm82.gnm4.ann1.Glyma.02G122000
   1 | glyma.Wm82.gnm4.ann1.Glyma.02G100800
   1 | glyma.Wm82.gnm4.ann1.Glyma.02G048600
   1 | glyma.Wm82.gnm4.ann1.Glyma.02G041500
   1 | glyma.Wm82.gnm4.ann1.Glyma.01G023500
   1 | glyma.Wm82.gnm2.ann1.Glyma.20G186200
   1 | glyma.Wm82.gnm2.ann1.Glyma.20G141200
   1 | glyma.Wm82.gnm2.ann1.Glyma.20G090000
   1 | glyma.Wm82.gnm2.ann1.Glyma.20G085100
   1 | glyma.Wm82.gnm2.ann1.Glyma.19G263500
   1 | glyma.Wm82.gnm2.ann1.Glyma.19G260900
   1 | glyma.Wm82.gnm2.ann1.Glyma.19G224200
   1 | glyma.Wm82.gnm2.ann1.Glyma.19G206800
   1 | glyma.Wm82.gnm2.ann1.Glyma.19G194300
   1 | glyma.Wm82.gnm2.ann1.Glyma.19G108200
   1 | glyma.Wm82.gnm2.ann1.Glyma.19G108100
   1 | glyma.Wm82.gnm2.ann1.Glyma.19G100200
   1 | glyma.Wm82.gnm2.ann1.Glyma.18G299000
   1 | glyma.Wm82.gnm2.ann1.Glyma.18G298900
   1 | glyma.Wm82.gnm2.ann1.Glyma.18G117100
   1 | glyma.Wm82.gnm2.ann1.Glyma.17G120400
   1 | glyma.Wm82.gnm2.ann1.Glyma.17G031900
   1 | glyma.Wm82.gnm2.ann1.Glyma.16G33780
   1 | glyma.Wm82.gnm2.ann1.Glyma.16G151000
   1 | glyma.Wm82.gnm2.ann1.Glyma.16G150700
   1 | glyma.Wm82.gnm2.ann1.Glyma.16G050500
   1 | glyma.Wm82.gnm2.ann1.Glyma.16G044200
   1 | glyma.Wm82.gnm2.ann1.Glyma.16G044100
   1 | glyma.Wm82.gnm2.ann1.Glyma.16G017400
   1 | glyma.Wm82.gnm2.ann1.Glyma.15G222300
   1 | glyma.Wm82.gnm2.ann1.Glyma.15G080200
   1 | glyma.Wm82.gnm2.ann1.Glyma.14G188000
   1 | glyma.Wm82.gnm2.ann1.Glyma.14G121400
   1 | glyma.Wm82.gnm2.ann1.Glyma.14G046200
   1 | glyma.Wm82.gnm2.ann1.Glyma.13G292300
   1 | glyma.Wm82.gnm2.ann1.Glyma.13G259400
   1 | glyma.Wm82.gnm2.ann1.Glyma.13G232500
   1 | glyma.Wm82.gnm2.ann1.Glyma.13G218200
   1 | glyma.Wm82.gnm2.ann1.Glyma.13G106100
   1 | glyma.Wm82.gnm2.ann1.Glyma.12G224600
   1 | glyma.Wm82.gnm2.ann1.Glyma.12G040000
   1 | glyma.Wm82.gnm2.ann1.Glyma.11G246200
   1 | glyma.Wm82.gnm2.ann1.Glyma.11G238800
   1 | glyma.Wm82.gnm2.ann1.Glyma.11G150400
   1 | glyma.Wm82.gnm2.ann1.Glyma.11G150300
   1 | glyma.Wm82.gnm2.ann1.Glyma.11G003200
   1 | glyma.Wm82.gnm2.ann1.Glyma.10G278000
   1 | glyma.Wm82.gnm2.ann1.Glyma.10G221500
   1 | glyma.Wm82.gnm2.ann1.Glyma.10G021500
   1 | glyma.Wm82.gnm2.ann1.Glyma.09G088500
   1 | glyma.Wm82.gnm2.ann1.Glyma.09G027700
   1 | glyma.Wm82.gnm2.ann1.Glyma.08G363200
   1 | glyma.Wm82.gnm2.ann1.Glyma.08G363100
   1 | glyma.Wm82.gnm2.ann1.Glyma.08G302500
   1 | glyma.Wm82.gnm2.ann1.Glyma.08G083300
   1 | glyma.Wm82.gnm2.ann1.Glyma.08G076300
